CPU,Time,N0 free,N2 free,N4 free,N6 free,Copy: Best,Copy: Avg,Copy: Min,Copy: Max,Scale: Best,Scale: Avg,Scale: Min,Scale: Max,Add: Best,Add: Avg,Add: Min,Add: Max,Triad: Best,Triad: Avg,Triad: Min,Triad: Max
8,1476124806.6143863,3654,1754,1759,7178,4656.6,0.091557,0.085899,0.098172,4926.2,0.087802,0.081199,0.094480,5194.1,0.121656,0.115516,0.128936,5218.5,0.121039,0.114975,0.128039
15,1476124813.984652,3672,1762,1769,7181,2969.0,0.135066,0.134725,0.135540,2963.9,0.135209,0.134959,0.136269,3014.9,0.199268,0.199009,0.199702,3013.6,0.199266,0.199095,0.199533
33,1476124820.427765,3658,1763,1770,7181,3540.6,0.117270,0.112976,0.119889,3573.1,0.119383,0.111948,0.130634,3831.7,0.164663,0.156587,0.169461,3830.1,0.164787,0.156654,0.175303
39,1476124826.3156693,3642,1763,1771,7182,3922.8,0.110532,0.101968,0.127197,3947.7,0.108847,0.101324,0.116155,4193.8,0.153610,0.143069,0.161620,4188.5,0.152399,0.143251,0.159900
7,1476125406.8999245,3556,1676,1753,7153,4631.9,0.093311,0.086358,0.098096,4722.2,0.091846,0.084706,0.095807,5074.4,0.127097,0.118240,0.131747,5100.7,0.126565,0.117631,0.131280
16,1476125414.551726,3571,1676,1761,7154,2963.3,0.135136,0.134984,0.135420,2953.7,0.135624,0.135422,0.136123,3010.0,0.199533,0.199333,0.200387,3011.8,0.199929,0.199219,0.203506
33,1476125421.3055677,3552,1680,1763,7158,3531.8,0.118455,0.113257,0.122155,3484.8,0.118747,0.114785,0.122691,3766.3,0.165252,0.159309,0.179293,3770.2,0.167489,0.159141,0.179441
42,1476125428.1295815,3475,1676,1763,7154,3455.2,0.120101,0.115767,0.128047,3407.3,0.120762,0.117394,0.134589,3687.3,0.167556,0.162720,0.185665,3690.4,0.169759,0.162584,0.189299
11,1476126007.05582,3539,1702,1753,7147,4641.2,0.091396,0.086184,0.098143,4770.1,0.089638,0.083856,0.095675,5112.9,0.122824,0.117351,0.130336,5131.9,0.122266,0.116916,0.129865
21,1476126018.1038532,3564,1688,1751,7150,2037.7,0.196511,0.196303,0.196750,2036.8,0.196625,0.196391,0.197059,2036.9,0.294888,0.294571,0.295471,2037.3,0.294898,0.294505,0.295345
30,1476126024.6208236,3561,1705,1760,7151,3551.5,0.112807,0.112630,0.112941,3493.0,0.114679,0.114516,0.114989,3793.5,0.158264,0.158167,0.158481,3787.5,0.158524,0.158415,0.158650
44,1476126031.5520675,3541,1705,1760,7151,3371.3,0.121425,0.118648,0.122596,3357.5,0.122612,0.119138,0.123803,3620.7,0.170648,0.165714,0.172200,3619.5,0.170467,0.165771,0.172017
6,1476126606.626033,3528,1718,1751,7150,4625.3,0.092757,0.086481,0.098153,4746.0,0.091937,0.084282,0.096065,5093.1,0.125591,0.117806,0.129949,5109.0,0.124999,0.117441,0.129908
22,1476126617.709178,3553,1726,1755,7156,2037.9,0.196466,0.196280,0.197259,2036.4,0.196599,0.196425,0.197017,2036.5,0.294778,0.294630,0.295200,2037.4,0.294690,0.294488,0.295106
30,1476126624.3799736,3548,1726,1755,7156,3538.3,0.114061,0.113049,0.117647,3477.2,0.115872,0.115036,0.118167,3769.7,0.161041,0.159163,0.164110,3763.4,0.161458,0.159430,0.168175
46,1476126631.3245647,3550,1726,1755,7156,3452.9,0.120189,0.115843,0.122584,3401.5,0.121555,0.117597,0.124053,3685.4,0.168425,0.162806,0.172019,3675.9,0.168319,0.163224,0.171932
9,1476127208.0731354,3253,1693,1710,7129,4606.2,0.095298,0.086839,0.098823,4565.1,0.095194,0.087622,0.098330,4971.5,0.127937,0.120689,0.131323,4978.1,0.128599,0.120527,0.131396
13,1476127216.156801,3275,1702,1713,7136,2956.4,0.136403,0.135301,0.137738,2932.0,0.137456,0.136424,0.138650,3003.0,0.200157,0.199802,0.200572,3004.7,0.200135,0.199688,0.200525
32,1476127222.679592,3275,1702,1713,7136,3593.3,0.111751,0.111318,0.112116,3585.4,0.111774,0.111562,0.112163,3859.8,0.156226,0.155448,0.157138,3864.1,0.156070,0.155274,0.156977
42,1476127229.0305307,3275,1702,1713,7136,3513.7,0.114012,0.113840,0.114202,3526.5,0.113599,0.113428,0.113770,3791.4,0.159101,0.158251,0.164665,3794.3,0.158281,0.158134,0.158438
4,1476127805.3296256,3140,1695,1718,7129,5516.3,0.078726,0.072513,0.096628,5557.9,0.078625,0.071969,0.089909,6272.6,0.105603,0.095654,0.120480,6380.1,0.104553,0.094043,0.125517
16,1476127812.6800828,3165,1697,1717,7129,2973.9,0.136996,0.134503,0.139607,2975.4,0.136538,0.134435,0.138159,3019.6,0.201059,0.198704,0.202568,3021.0,0.201189,0.198612,0.203850
30,1476127818.9429467,3157,1698,1719,7130,3558.2,0.117138,0.112418,0.119788,3581.8,0.116853,0.111676,0.120286,3839.4,0.163653,0.156276,0.169180,3843.8,0.162316,0.156097,0.169691
